brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol
Mazda,Mazda6 i Touring,2016,119500,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,15000,184.0,2.5,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,E-Class AMG E 53,2020,23044,Hybrid,3.0 Liter Turbo,Automatic,Emerald Green Metallic,Black/Saddle Brown,None reported,No,72598,311.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Baixa Frequência int_col,Baixa Frequência ext_col
Toyota,Camry Hybrid Base,2007,53249,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9250,147.0,2.4,4.0,24.0,7.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,67289,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,20490,241.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Dodge,Charger SE,2017,63250,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,18650,292.0,3.6,6.0,24.0,7.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Tesla,Model S 75D,2016,102260,Eletric,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,Yes,31300,518.0,3.5,6.0,24.0,1.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Lexus,GX 460 Premium,2023,2533,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64900,301.0,4.6,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,1-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,128900,311.0,4.0,8.0,32.0,1.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,Mustang Shelby GT500,2007,7346,Gasoline,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,40999,500.0,5.4,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,Majestic Black Pearl,Parchment,None reported,No,47950,311.0,3.5,6.0,24.0,10.0,0,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Lincoln,MKT Base,2016,140200,Gasoline,303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,10500,303.0,3.7,6.0,24.0,6.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Volkswagen,Passat 2.0T SE,2020,49400,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,20900,174.0,2.0,4.0,24.0,6.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
INFINITI,QX60 Base,2014,154247,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12500,265.0,3.5,6.0,24.0,7.0,3,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
RAM,1500 Big Horn,2021,41800,Diesel,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Black,None reported,Yes,44900,260.0,3.0,6.0,24.0,8.0,0,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Hyundai,Santa Fe SE,2007,145000,Gasoline,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,4200,242.0,3.3,6.0,24.0,7.0,3,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Acura,ILX Technology Plus Package,2016,61000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000,201.0,2.4,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Rolls-Royce,Phantom,2018,7585,Gasoline,6.8L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,599000,311.0,6.8,12.0,48.0,8.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,E-Class E 350,2014,35000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,29998,302.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,54800,395.0,5.7,8.0,24.0,8.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Jaguar,F-TYPE S British Design Edition,2017,34150,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45999,380.0,3.0,6.0,24.0,8.0,0,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Toyota,Highlander XLE,2018,74000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,27950,295.0,3.5,6.0,24.0,8.0,0,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Porsche,911 Turbo Cabriolet,2008,51000,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,69500,480.0,3.6,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,184606,715.0,5.2,12.0,24.0,8.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,Transit Connect XLT,2016,111700,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,15500,169.0,2.5,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999,424.0,3.0,6.0,24.0,8.0,0,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Land,Rover Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,62999,296.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Toyota,Tundra SR5,2020,26300,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,46199,381.0,5.7,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mazda,Mazda6 Touring,2021,52253,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl,Black,At least 1 accident or damage reported,Yes,25215,311.0,2.5,4.0,16.0,6.0,4,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,i3 Base,2015,26000,Eletric,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,14999,170.0,0.65,6.0,24.0,1.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Jeep,Grand Cherokee Limited,2020,47500,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,31000,293.0,3.6,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,640 Gran Coupe i xDrive,2015,98000,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,22500,315.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,27500,252.0,2.0,4.0,24.0,7.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Kia,Rio S,2021,67686,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,15700,120.0,1.6,4.0,24.0,7.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,F-250 King Ranch,2015,97700,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,39950,440.0,6.7,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Porsche,911 Turbo S,2019,22000,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,174900,580.0,3.8,6.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000,405.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,328 i xDrive,2016,65000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,19500,240.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,Expedition Limited,2018,98995,Gasoline,3.5 Liter GTDI,Automatic,Ingot Silver Metallic,Ebony,None reported,No,34998,311.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Baixa Frequência ext_col
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500,248.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
GMC,Yukon SLT,2018,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,35899,355.0,5.3,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,330e iPerformance,2018,45253,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,24995,247.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,Explorer Limited,2022,17500,Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,White,Black,None reported,Yes,46000,318.0,3.3,6.0,24.0,10.0,0,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Chrysler,Pacifica Launch Edition,2020,22200,Gasoline,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,36800,287.0,3.6,6.0,24.0,9.0,0,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Tesla,Model 3 Long Range,2019,27123,Eletric,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,38200,425.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,18950,288.0,3.6,6.0,24.0,6.0,3,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Jeep,Wrangler Sport,2012,57237,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,22500,285.0,3.6,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,17200,220.0,2.0,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Kia,Optima EX,2019,68166,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Ebony Black,Black,None reported,No,20818,311.0,1.6,4.0,24.0,7.0,2,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Subaru,Impreza WRX Base,2013,113000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,16000,265.0,2.5,4.0,24.0,5.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Volkswagen,Touareg TDI Lux,2015,15167,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Gold,Black,None reported,Yes,35000,240.0,3.0,6.0,24.0,8.0,0,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,61500,420.0,6.2,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Land,Rover Range Rover Sport HSE,2007,220000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,5750,300.0,4.4,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
INFINITI,QX80 SENSORY,2022,26520,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,At least 1 accident or damage reported,Yes,64000,400.0,5.6,8.0,24.0,7.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,Z4 3.0si,2008,59257,Gasoline,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,18200,255.0,3.0,6.0,24.0,6.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Ford,F-250 XLT Super Duty,2001,64309,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,7500,260.0,5.4,8.0,24.0,7.0,1,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
BMW,X5 xDrive35i,2017,105100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,23300,300.0,3.0,6.0,24.0,8.0,0,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Nissan,Xterra S,2012,80000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,14800,261.0,4.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Chevrolet,Silverado 2500 LT,2016,84421,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,36800,360.0,6.0,8.0,24.0,6.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,GL-Class GL 450,2011,93000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11900,335.0,4.7,8.0,24.0,7.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Chevrolet,Trailblazer LT,2021,50648,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Pacific Blue Metallic,Jet Black,None reported,No,23995,311.0,1.2,3.0,12.0,7.0,4,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,AMG GLS 63 4MATIC,2023,2000,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Beige,None reported,Yes,175000,603.0,4.0,8.0,24.0,9.0,1,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,228.0,2.0,4.0,24.0,6.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Jeep,Compass Sport,2010,179700,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,4500,172.0,2.4,4.0,24.0,7.0,2,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Toyota,86 860 Special Edition,2017,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,20000,200.0,2.0,4.0,24.0,6.0,2,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,110000,717.0,6.2,8.0,24.0,7.0,1,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,14000,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,46900,276.0,3.6,6.0,24.0,8.0,0,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Audi,S4 3.0 Prestige,2012,38718,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,31000,333.0,3.0,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Jeep,Grand Cherokee Laredo,2012,166000,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,13000,290.0,3.6,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Honda,Civic Sport,2020,23131,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Crystal Black Pearl,Black,At least 1 accident or damage reported,No,23739,311.0,2.0,4.0,16.0,7.0,4,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Baixa Frequência ext_col
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000,400.0,3.0,6.0,24.0,7.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Toyota,4Runner Sport,2004,220450,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8550,245.0,4.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Rivian,R1S Launch Edition,2023,299,Eletric,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Gray,None reported,Yes,92500,835.0,3.5,6.0,24.0,1.0,1,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Mercedes-Benz,E-Class E 350 4MATIC,2014,89563,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,18995,302.0,3.5,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,17500,300.0,3.0,6.0,24.0,7.0,3,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Pontiac,Solstice Base,2007,62310,Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,12900,177.0,2.4,4.0,24.0,5.0,2,Média Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,No,143998,311.0,4.4,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500,375.0,2.9,6.0,24.0,7.0,3,Alta Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Audi,Q5 Premium,2023,2425,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,No,42998,311.0,2.0,6.0,24.0,7.0,3,Alta Frequência Marca,Baixa Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
Hyundai,Tucson Limited,2008,149000,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,None reported,Yes,3850,173.0,2.7,6.0,24.0,4.0,3,Média Frequência Marca,Alta Frequência Modelo,Alta Frequência int_col,Alta Frequência ext_col
