brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2
Mercedes-Benz,E-Class AMG E 53,0.9199999999999946,0.056665843418127936,Hybrid,3.0 Liter Turbo,Emerald Green Metallic,Black/Saddle Brown,None reported,No,0.02391463925641657,0.2769686823731166,0.3032258064516129,0.3580809852293541,0.18685491723466408,0.6666666666666665
Toyota,Camry Hybrid Base,0.6599999999999966,0.1312645097554952,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Silver,Gray,At least 1 accident or damage reported,Yes,0.002455893008428286,0.08105263157894736,0.2258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Mercedes-Benz,C-Class C 300 4MATIC Sport,0.8399999999999963,0.1659397382069647,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Gray,None reported,Yes,0.006263374031150208,0.18,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Dodge,Charger SE,0.8599999999999994,0.1559644356631267,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Red,Black,None reported,Yes,0.00564008532280427,0.23368421052631577,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.6666666666666665
Tesla,Model S 75D,0.8399999999999963,0.25230921215114843,Eletric,518.0HP Electric Motor Electric Fuel System,White,Black,None reported,Yes,0.00992519519268259,0.471578947368421,0.39330057679982916,0.3580809852293541,0.18685491723466408,0.0
Ford,Mustang Shelby GT500,0.6599999999999966,0.017895776734996295,Gasoline,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Red,Black,None reported,Yes,0.01321067192216479,0.4526315789473684,0.6129032258064516,0.5555555555555556,0.18685491723466408,0.5555555555555556
Acura,MDX Technology,0.9599999999999937,0.03900963200790319,Gasoline,3.5L V6 24V GDI SOHC,Majestic Black Pearl,Parchment,None reported,No,0.01556528051548686,0.2769686823731166,0.36774193548387096,0.3333333333333333,0.23076923076923078,1.0
Lincoln,MKT Base,0.8399999999999963,0.3460113608298345,Gasoline,303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.0028793228374676457,0.24526315789473685,0.3935483870967742,0.3333333333333333,0.18685491723466408,0.5555555555555556
Volkswagen,Passat 2.0T SE,0.9199999999999946,0.1217584588787355,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Brown,None reported,Yes,0.006402259015075118,0.10947368421052632,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.5555555555555556
INFINITI,QX60 Base,0.7999999999999972,0.38070387750061746,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,0.003556810563930621,0.20526315789473681,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
RAM,1500 Big Horn,0.9399999999999977,0.10298839219560386,Diesel,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,White,Black,None reported,Yes,0.014532111732630823,0.2,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.7777777777777777
Hyundai,Santa Fe SE,0.6599999999999966,0.3578661397876019,Gasoline,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,At least 1 accident or damage reported,Yes,0.0007452364991092729,0.18105263157894735,0.3419354838709677,0.3333333333333333,0.18685491723466408,0.6666666666666665
Acura,ILX Technology Plus Package,0.8399999999999963,0.15040750802667327,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,0.006436133401398266,0.1378947368421053,0.2258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Mercedes-Benz,E-Class E 350,0.7999999999999972,0.08619412200543344,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Red,Beige,None reported,Yes,0.009484150682755193,0.24421052631578943,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
RAM,1500 Limited,0.9399999999999977,0.05408742899481354,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.01788567597862255,0.34210526315789475,0.6516129032258065,0.5555555555555556,0.18685491723466408,0.7777777777777777
Jaguar,F-TYPE S British Design Edition,0.8599999999999994,0.08409483823166214,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.014904391238322228,0.32631578947368417,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.7777777777777777
Toyota,Highlander XLE,0.8799999999999955,0.18251420103729316,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,0.008790403250857106,0.23684210526315785,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.7777777777777777
Porsche,911 Turbo Cabriolet,0.6799999999999997,0.12571005186465795,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Silver,Black,At least 1 accident or damage reported,Yes,0.02286521076812542,0.43157894736842106,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.6666666666666665
Aston,Martin DBS Superleggera,0.8999999999999986,0.055989133119288714,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.06185666188924904,0.6789473684210526,0.5870967741935484,1.0,0.18685491723466408,0.7777777777777777
Ford,Transit Connect XLT,0.8399999999999963,0.2756236107680909,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,White,Beige,None reported,Yes,0.004573042153625083,0.10421052631578949,0.23870967741935484,0.1111111111111111,0.18685491723466408,0.6666666666666665
Maserati,Quattroporte S,0.8999999999999986,0.05712521610274142,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.014565647375090739,0.3726315789473684,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.7777777777777777
Land,Rover Defender S,0.9799999999999969,0.03729315880464312,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,0.02066303691325752,0.23789473684210527,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Toyota,Tundra SR5,0.9199999999999946,0.06470733514448013,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,At least 1 accident or damage reported,Yes,0.014972140010968525,0.3273684210526316,0.6516129032258065,0.5555555555555556,0.18685491723466408,0.5555555555555556
Mazda,Mazda6 Touring,0.9399999999999977,0.12880464312175846,Gasoline,2.5L I4 16V GDI DOHC,Snowflake White Pearl,Black,At least 1 accident or damage reported,Yes,0.007863938784918987,0.2769686823731166,0.23870967741935484,0.1111111111111111,0.07692307692307693,0.5555555555555556
Jeep,Grand Cherokee Limited,0.9199999999999946,0.11706594220795259,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Purple,Black,None reported,Yes,0.009823572033713143,0.23473684210526313,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.6666666666666665
BMW,640 Gran Coupe i xDrive,0.8200000000000003,0.24178809582612992,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Beige,None reported,Yes,0.006944249196245498,0.25789473684210523,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Honda,Accord EX-L 2.0T,0.8999999999999986,0.09871326253395901,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,At least 1 accident or damage reported,Yes,0.008637968512402937,0.19157894736842102,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Kia,Rio S,0.9399999999999977,0.1669202272165967,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.004640790926271381,0.05263157894736843,0.12258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Ford,F-250 King Ranch,0.8200000000000003,0.24104717214126944,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Black,Black,None reported,Yes,0.012855329609634958,0.3894736842105263,0.7806451612903226,0.5555555555555556,0.18685491723466408,0.5555555555555556
Porsche,911 Turbo S,0.8999999999999986,0.05408742899481354,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,0.05856881395272422,0.5368421052631579,0.4064516129032258,0.3333333333333333,0.18685491723466408,0.6666666666666665
BMW,M2 Competition,0.9199999999999946,0.06152877253642875,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.017953424751268852,0.3526315789473684,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
BMW,328 i xDrive,0.8399999999999963,0.1602864904914794,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.005928017606551035,0.17894736842105263,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Ford,Expedition Limited,0.8799999999999955,0.24424549271425045,Gasoline,3.5 Liter GTDI,Ingot Silver Metallic,Ebony,None reported,No,0.011177869998912631,0.2769686823731166,0.36774193548387096,0.3580809852293541,0.18685491723466408,0.6666666666666665
Mercedes-Benz,C-Class C 300 4MATIC Sport,0.779999999999994,0.24178809582612992,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,0.004573042153625083,0.18736842105263157,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
GMC,Yukon SLT,0.8799999999999955,0.2109162756236108,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,0.011483078219684202,0.3,0.6,0.5555555555555556,0.18685491723466408,0.6666666666666665
BMW,330e iPerformance,0.8799999999999955,0.11151642380834774,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,None reported,Yes,0.0077894151350080595,0.1863157894736842,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Ford,Explorer Limited,0.9599999999999937,0.04297357372190665,Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,White,Black,None reported,Yes,0.014904729982185458,0.26105263157894737,0.3419354838709677,0.3333333333333333,0.18685491723466408,1.0
Chrysler,Pacifica Launch Edition,0.9199999999999946,0.054581378118053844,Gasoline,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.011788286440455773,0.2284210526315789,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.8888888888888888
Tesla,Model 3 Long Range,0.8999999999999986,0.06673993578661398,Eletric,425.0HP Electric Motor Electric Fuel System,Red,Black,None reported,Yes,0.012262527848979854,0.3736842105263158,0.39330057679982916,0.3580809852293541,0.18685491723466408,0.6666666666666665
Buick,Enclave Leather,0.8200000000000003,0.1693084712274636,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Blue,Black,At least 1 accident or damage reported,Yes,0.005741708481773716,0.22947368421052627,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.5555555555555556
Jeep,Wrangler Sport,0.759999999999998,0.1411138552729069,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.006944249196245498,0.2263157894736842,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.6666666666666665
Audi,A4 2.0T Premium Plus,0.8200000000000003,0.18004445542109163,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,Black,Black,At least 1 accident or damage reported,Yes,0.005148906721118613,0.15789473684210525,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.6666666666666665
Subaru,Impreza WRX Base,0.779999999999994,0.2788342800691529,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Blue,Black,At least 1 accident or damage reported,Yes,0.004742414085240828,0.20526315789473681,0.23870967741935484,0.1111111111111111,0.18685491723466408,0.4444444444444445
Cadillac,Escalade Platinum,0.9199999999999946,0.1198147690787849,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,0.02015525986227352,0.3684210526315789,0.7161290322580646,0.5555555555555556,0.18685491723466408,0.6666666666666665
Land,Rover Range Rover Sport HSE,0.6599999999999966,0.5430970610027167,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,0.001270289487118079,0.2421052631578947,0.4838709677419355,0.5555555555555556,0.18685491723466408,0.6666666666666665
INFINITI,QX80 SENSORY,0.9599999999999937,0.06525067918004446,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Blue,Brown,At least 1 accident or damage reported,Yes,0.02100211952035224,0.34736842105263155,0.6387096774193548,0.5555555555555556,0.18685491723466408,0.6666666666666665
BMW,Z4 3.0si,0.6799999999999997,0.146102741417634,Gasoline,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,0.005487650584350101,0.19473684210526315,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.5555555555555556
Ford,F-250 XLT Super Duty,0.5399999999999991,0.15857989627068414,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,White,Gray,None reported,Yes,0.0018630912477731825,0.2,0.6129032258064516,0.5555555555555556,0.18685491723466408,0.6666666666666665
BMW,X5 xDrive35i,0.8599999999999994,0.2593232897011608,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Black,At least 1 accident or damage reported,Yes,0.0072152442868306885,0.2421052631578947,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.7777777777777777
Nissan,Xterra S,0.759999999999998,0.19733267473450236,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Black,Gray,None reported,Yes,0.004335921449363042,0.20105263157894737,0.432258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Chevrolet,Silverado 2500 LT,0.8399999999999963,0.20825142010372932,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,White,Black,None reported,Yes,0.011788286440455773,0.30526315789473685,0.6903225806451613,0.5555555555555556,0.18685491723466408,0.5555555555555556
Mercedes-Benz,GL-Class GL 450,0.7399999999999949,0.22943936774512225,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,At least 1 accident or damage reported,Yes,0.003353564245991728,0.2789473684210526,0.5225806451612903,0.5555555555555556,0.18685491723466408,0.6666666666666665
Chevrolet,Trailblazer LT,0.9399999999999977,0.124840701407755,Gasoline,1.2L I3 12V GDI DOHC Turbo,Pacific Blue Metallic,Jet Black,None reported,No,0.0074506712717765725,0.2769686823731166,0.07096774193548384,0.0,0.0,0.6666666666666665
Mercedes-Benz,AMG GLS 63 4MATIC,0.9799999999999969,0.00469251667078291,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Beige,None reported,Yes,0.058602688339047374,0.5610526315789474,0.432258064516129,0.5555555555555556,0.18685491723466408,0.8888888888888888
MINI,Convertible John Cooper Works,0.8599999999999994,0.05971844899975303,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,0.009146084307250169,0.1663157894736842,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.5555555555555556
Jeep,Compass Sport,0.7199999999999989,0.443566312669795,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,0.0008468596580787192,0.10736842105263157,0.2258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Toyota,86 860 Special Edition,0.8599999999999994,0.21585576685601385,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.0060973895381667784,0.13684210526315788,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.5555555555555556
Volkswagen,Atlas 3.6L SEL Premium R-Line,0.9599999999999937,0.034329464065201286,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,0.015209599459093797,0.2168421052631579,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.7777777777777777
Audi,S4 3.0 Prestige,0.759999999999998,0.09537663620647074,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.009823572033713143,0.2768421052631579,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Jeep,Grand Cherokee Laredo,0.759999999999998,0.40973079772783405,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,White,Gray,At least 1 accident or damage reported,Yes,0.0037261824955463646,0.23157894736842105,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.6666666666666665
Honda,Civic Sport,0.9199999999999946,0.05688071128673747,Gasoline,2.0L I4 16V MPFI DOHC,Crystal Black Pearl,Black,At least 1 accident or damage reported,No,0.0073639528427893106,0.2769686823731166,0.17419354838709677,0.1111111111111111,0.07692307692307693,0.6666666666666665
Lincoln,Aviator Reserve AWD,0.9599999999999937,0.04469251667078291,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Brown,None reported,Yes,0.020324631793889263,0.34736842105263155,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Toyota,4Runner Sport,0.5999999999999943,0.5442084465300074,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,None reported,Yes,0.0022187723041662446,0.18421052631578944,0.432258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Mercedes-Benz,E-Class E 350 4MATIC,0.7999999999999972,0.2209508520622376,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Blue,Black,None reported,Yes,0.005756951955619133,0.24421052631578943,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
INFINITI,Q60 3.0T Premium,0.8599999999999994,0.2649543097061003,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,0.005250529880088059,0.2421052631578947,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Pontiac,Solstice Base,0.6599999999999966,0.15364287478389727,Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,0.003692308109223216,0.11263157894736843,0.2258064516129032,0.1111111111111111,0.18685491723466408,0.4444444444444445
Land,Rover Range Rover Sport First Edition,0.9799999999999969,0.008481106446036057,Hybrid,4.4 Liter,Red,Black,None reported,No,0.04810095109114479,0.2769686823731166,0.4838709677419355,0.3580809852293541,0.18685491723466408,0.6666666666666665
Porsche,Macan S,0.9599999999999937,0.04976537416646086,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,0.022526466904893933,0.32105263157894737,0.29032258064516125,0.3333333333333333,0.18685491723466408,0.6666666666666665
Audi,Q5 Premium,0.9799999999999969,0.0057421585576685604,Hybrid,2.0 Liter TFSI,Mythos Black,Black,None reported,No,0.013887820904764533,0.2769686823731166,0.17419354838709677,0.3580809852293541,0.18685491723466408,0.6666666666666665
Hyundai,Tucson Limited,0.6799999999999997,0.367745122252408,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Black,Gray,None reported,Yes,0.0006266761469782522,0.10842105263157896,0.2645161290322581,0.3333333333333333,0.18685491723466408,0.3333333333333333
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,0.8999999999999986,0.08001975796492962,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.01405787032410674,0.33157894736842103,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.8888888888888888
GMC,Sierra 1500 Limited Elevation,0.9599999999999937,0.061249691281797976,Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.01622583104878826,0.25263157894736843,0.2645161290322581,0.1111111111111111,0.18685491723466408,0.7777777777777777
Ford,Bronco,0.9399999999999977,0.008634230674240554,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,Blue,Black Onyx,None reported,No,0.018597038091408676,0.2769686823731166,0.2645161290322581,0.3333333333333333,0.23076923076923078,1.0
Ford,Expedition Max Limited,0.9599999999999937,0.06520128426772043,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,0.021645732860492067,0.3894736842105263,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
Cadillac,CTS-V Base,0.6399999999999935,0.3035317362311682,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.00440367022200934,0.34736842105263155,0.6903225806451613,0.5555555555555556,0.18685491723466408,0.5555555555555556
Jeep,Liberty Limited,0.7199999999999989,0.2640158063719437,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,None reported,Yes,0.0013211010666028021,0.1473684210526316,0.3935483870967742,0.3333333333333333,0.18685491723466408,0.6666666666666665
Mercedes-Benz,S-Class S 550,0.8399999999999963,0.19264262780933564,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.01100917555502335,0.3989473684210526,0.5225806451612903,0.5555555555555556,0.18685491723466408,0.6666666666666665
Dodge,Dakota Sport,0.5599999999999952,0.3702148678686095,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,0.0011856035213102072,0.11052631578947368,0.4193548387096774,0.3333333333333333,0.18685491723466408,0.4444444444444445
Cadillac,Escalade Premium Luxury,0.8599999999999994,0.13558903432946406,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,0.01622583104878826,0.3684210526315789,0.7161290322580646,0.5555555555555556,0.18685491723466408,0.7777777777777777
Audi,R8 Base,0.6799999999999997,0.12077056063225489,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.02066337565712075,0.3684210526315789,0.4580645161290323,0.5555555555555556,0.18685491723466408,0.5555555555555556
Hummer,H2 Base,0.6199999999999974,0.3578661397876019,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Green,Black,None reported,Yes,0.006944249196245498,0.26842105263157895,0.6903225806451613,0.5555555555555556,0.18685491723466408,0.3333333333333333
Ford,Mustang Shelby GT500,0.779999999999994,0.04044949370214868,Gasoline,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,0.021815104792107808,0.6105263157894737,0.664516129032258,0.5555555555555556,0.18685491723466408,0.5555555555555556
Kia,Niro Plug-In Hybrid EX,0.9799999999999969,0.022968634230674242,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,None reported,Yes,0.009992943965328887,0.11578947368421054,0.12258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Ford,Focus RS Base,0.8599999999999994,0.06396641145961966,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,0.01185603521310207,0.29473684210526313,0.2129032258064516,0.1111111111111111,0.18685491723466408,0.5555555555555556
Porsche,Boxster S,0.6199999999999974,0.2347987157322796,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,Blue,Gray,None reported,Yes,0.0077572344680010685,0.22105263157894733,0.32903225806451614,0.3333333333333333,0.18685491723466408,0.5555555555555556
Audi,A4 2.0T Premium,0.759999999999998,0.30847122746357125,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,0.0028793228374676457,0.14842105263157895,0.17419354838709677,0.1111111111111111,0.18685491723466408,0.7777777777777777
Audi,SQ5 3.0T Prestige,0.8999999999999986,0.11953568782415412,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gray,Black,At least 1 accident or damage reported,Yes,0.01405787032410674,0.29368421052631577,0.3032258064516129,0.3333333333333333,0.18685491723466408,0.6666666666666665
Mercedes-Benz,G-Class G 550 4MATIC,0.8399999999999963,0.1265843418127933,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Blue,Black,None reported,Yes,0.02405081428943563,0.36421052631578943,0.432258064516129,0.5555555555555556,0.18685491723466408,0.6666666666666665
