brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2
Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,184606,715.0,5.2,12.0,21.71645569620253,8.0
Ford,Transit Connect XLT,2016,111700,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,White,Beige,None reported,Yes,15500,169.0,2.5,4.0,21.71645569620253,7.0
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,44999,424.0,3.0,6.0,21.71645569620253,8.0
Land,Rover Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,62999,296.0,2.0,4.0,21.71645569620253,7.0
Toyota,Tundra SR5,2020,26300,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,At least 1 accident or damage reported,Yes,46199,381.0,5.7,8.0,21.71645569620253,6.0
Mazda,Mazda6 Touring,2021,52253,Gasoline,2.5L I4 16V GDI DOHC,Snowflake White Pearl,Black,At least 1 accident or damage reported,Yes,25215,333.1202482544608,2.5,4.0,16.0,6.0
Jeep,Grand Cherokee Limited,2020,47500,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Purple,Black,None reported,Yes,31000,293.0,3.6,6.0,21.71645569620253,7.0
BMW,640 Gran Coupe i xDrive,2015,98000,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Beige,None reported,Yes,22500,315.0,3.0,6.0,21.71645569620253,7.0
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,At least 1 accident or damage reported,Yes,27500,252.0,2.0,4.0,21.71645569620253,7.0
Kia,Rio S,2021,67686,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,15700,120.0,1.6,4.0,21.71645569620253,7.0
Ford,F-250 King Ranch,2015,97700,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Black,Black,None reported,Yes,39950,440.0,6.7,8.0,21.71645569620253,6.0
Porsche,911 Turbo S,2019,22000,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,174900,580.0,3.8,6.0,21.71645569620253,7.0
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,55000,405.0,3.0,6.0,21.71645569620253,7.0
BMW,328 i xDrive,2016,65000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,19500,240.0,2.0,4.0,21.71645569620253,7.0
Ford,Expedition Limited,2018,98995,Gasoline,3.5 Liter GTDI,Ingot Silver Metallic,Ebony,None reported,No,34998,333.1202482544608,3.5,6.222728867064188,21.71645569620253,7.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,15500,248.0,3.5,6.0,21.71645569620253,7.0
GMC,Yukon SLT,2018,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,35899,355.0,5.3,8.0,21.71645569620253,7.0
BMW,330e iPerformance,2018,45253,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,None reported,Yes,24995,247.0,2.0,4.0,21.71645569620253,7.0
Ford,Explorer Limited,2022,17500,Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,White,Black,None reported,Yes,46000,318.0,3.3,6.0,21.71645569620253,10.0
Chrysler,Pacifica Launch Edition,2020,22200,Gasoline,287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,36800,287.0,3.6,6.0,21.71645569620253,9.0
Tesla,Model 3 Long Range,2019,27123,Eletric,425.0HP Electric Motor Electric Fuel System,Red,Black,None reported,Yes,38200,425.0,3.698079470198676,6.222728867064188,21.71645569620253,7.0
Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Blue,Black,At least 1 accident or damage reported,Yes,18950,288.0,3.6,6.0,21.71645569620253,6.0
Jeep,Wrangler Sport,2012,57237,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,22500,285.0,3.6,6.0,21.71645569620253,7.0
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,Black,Black,At least 1 accident or damage reported,Yes,17200,220.0,2.0,4.0,21.71645569620253,7.0
Kia,Optima EX,2019,68166,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Ebony Black,Black,None reported,No,20818,333.1202482544608,1.6,4.0,21.71645569620253,7.0
Subaru,Impreza WRX Base,2013,113000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Blue,Black,At least 1 accident or damage reported,Yes,16000,265.0,2.5,4.0,21.71645569620253,5.0
Volkswagen,Touareg TDI Lux,2015,15167,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Gold,Black,None reported,Yes,35000,240.0,3.0,6.0,21.71645569620253,8.0
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,61500,420.0,6.2,8.0,21.71645569620253,7.0
Land,Rover Range Rover Sport HSE,2007,220000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,5750,300.0,4.4,8.0,21.71645569620253,7.0
INFINITI,QX80 SENSORY,2022,26520,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Blue,Brown,At least 1 accident or damage reported,Yes,64000,400.0,5.6,8.0,21.71645569620253,7.0
BMW,Z4 3.0si,2008,59257,Gasoline,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,18200,255.0,3.0,6.0,21.71645569620253,6.0
Ford,F-250 XLT Super Duty,2001,64309,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,White,Gray,None reported,Yes,7500,260.0,5.4,8.0,21.71645569620253,7.0
BMW,X5 xDrive35i,2017,105100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Black,At least 1 accident or damage reported,Yes,23300,300.0,3.0,6.0,21.71645569620253,8.0
Nissan,Xterra S,2012,80000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Black,Gray,None reported,Yes,14800,261.0,4.0,6.0,21.71645569620253,7.0
Chevrolet,Silverado 2500 LT,2016,84421,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,White,Black,None reported,Yes,36800,360.0,6.0,8.0,21.71645569620253,6.0
Mercedes-Benz,GL-Class GL 450,2011,93000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,At least 1 accident or damage reported,Yes,11900,335.0,4.7,8.0,21.71645569620253,7.0
Chevrolet,Trailblazer LT,2021,50648,Gasoline,1.2L I3 12V GDI DOHC Turbo,Pacific Blue Metallic,Jet Black,None reported,No,23995,333.1202482544608,1.2,3.0,12.0,7.0
Mercedes-Benz,AMG GLS 63 4MATIC,2023,2000,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Beige,None reported,Yes,175000,603.0,4.0,8.0,21.71645569620253,9.0
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,29000,228.0,2.0,4.0,21.71645569620253,6.0
Jeep,Compass Sport,2010,179700,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,4500,172.0,2.4,4.0,21.71645569620253,7.0
Toyota,86 860 Special Edition,2017,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,20000,200.0,2.0,4.0,21.71645569620253,6.0
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,110000,717.0,6.2,8.0,21.71645569620253,7.0
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,14000,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,46900,276.0,3.6,6.0,21.71645569620253,8.0
Audi,S4 3.0 Prestige,2012,38718,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,31000,333.0,3.0,6.0,21.71645569620253,7.0
Jeep,Grand Cherokee Laredo,2012,166000,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,White,Gray,At least 1 accident or damage reported,Yes,13000,290.0,3.6,6.0,21.71645569620253,7.0
Honda,Civic Sport,2020,23131,Gasoline,2.0L I4 16V MPFI DOHC,Crystal Black Pearl,Black,At least 1 accident or damage reported,No,23739,333.1202482544608,2.0,4.0,16.0,7.0
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Brown,None reported,Yes,62000,400.0,3.0,6.0,21.71645569620253,7.0
Toyota,4Runner Sport,2004,220450,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,None reported,Yes,8550,245.0,4.0,6.0,21.71645569620253,7.0
Rivian,R1S Launch Edition,2023,299,Eletric,835.0HP Electric Motor Electric Fuel System,Blue,Gray,None reported,Yes,92500,835.0,3.698079470198676,6.222728867064188,21.71645569620253,1.0
Mercedes-Benz,E-Class E 350 4MATIC,2014,89563,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Blue,Black,None reported,Yes,18995,302.0,3.5,6.0,21.71645569620253,7.0
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,17500,300.0,3.0,6.0,21.71645569620253,7.0
Pontiac,Solstice Base,2007,62310,Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,12900,177.0,2.4,4.0,21.71645569620253,5.0
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Red,Black,None reported,No,143998,333.1202482544608,4.4,6.222728867064188,21.71645569620253,7.0
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,68500,375.0,2.9,6.0,21.71645569620253,7.0
Audi,Q5 Premium,2023,2425,Hybrid,2.0 Liter TFSI,Mythos Black,Black,None reported,No,42998,333.1202482544608,2.0,6.222728867064188,21.71645569620253,7.0
Hyundai,Tucson Limited,2008,149000,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Black,Gray,None reported,Yes,3850,173.0,2.7,6.0,21.71645569620253,4.0
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,32500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,43500,385.0,3.0,6.0,21.71645569620253,9.0
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,49900,310.0,2.7,4.0,21.71645569620253,8.0
Ford,Bronco,2021,3596,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,Blue,Black Onyx,None reported,No,56900,333.1202482544608,2.7,6.0,24.0,10.0
Ford,Expedition Max Limited,2022,26500,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,65900,440.0,3.5,6.0,21.71645569620253,7.0
Cadillac,CTS-V Base,2006,123000,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,15000,400.0,6.0,8.0,21.71645569620253,6.0
Jeep,Liberty Limited,2010,107000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,None reported,Yes,5900,210.0,3.7,6.0,21.71645569620253,7.0
Mercedes-Benz,S-Class S 550,2016,78101,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,34500,449.0,4.7,8.0,21.71645569620253,7.0
Dodge,Dakota Sport,2002,150000,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,Black,Gray,At least 1 accident or damage reported,Yes,5500,175.0,3.9,6.0,21.71645569620253,5.0
Cadillac,Escalade Premium Luxury,2017,55000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,49900,420.0,6.2,8.0,21.71645569620253,8.0
Audi,R8 Base,2008,49000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,63000,420.0,4.2,8.0,21.71645569620253,6.0
Hummer,H2 Base,2005,145000,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Green,Black,None reported,Yes,22500,325.0,6.0,8.0,21.71645569620253,4.0
Ford,Mustang Shelby GT500,2013,16478,Gasoline,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,66400,650.0,5.8,8.0,21.71645569620253,6.0
Kia,Niro Plug-In Hybrid EX,2023,9400,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,None reported,Yes,31500,180.0,1.6,4.0,21.71645569620253,7.0
Ford,Focus RS Base,2017,26000,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,37000,350.0,2.3,4.0,21.71645569620253,6.0
Porsche,Boxster S,2005,95170,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,Blue,Gray,None reported,Yes,24900,280.0,3.2,6.0,21.71645569620253,6.0
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Orange,None reported,Yes,84900,382.0,3.0,6.0,21.71645569620253,6.0
Audi,A4 2.0T Premium,2012,125000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,10500,211.0,2.0,4.0,21.71645569620253,8.0
Audi,SQ5 3.0T Prestige,2019,48500,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gray,Black,At least 1 accident or damage reported,Yes,43500,349.0,3.0,6.0,21.71645569620253,7.0
Mercedes-Benz,G-Class G 550 4MATIC,2016,51354,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Blue,Black,None reported,Yes,73000,416.0,4.0,8.0,21.71645569620253,7.0
Ford,Escape SE,2015,54357,Gasoline,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,White,Gray,None reported,Yes,16250,173.0,1.6,4.0,21.71645569620253,6.0
Ford,F-250 Lariat,2017,72128,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,White,Camel,None reported,No,45985,333.1202482544608,6.2,8.0,16.0,6.0
Chevrolet,Colorado ZR2,2019,38900,Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,34700,308.0,3.6,6.0,21.71645569620253,8.0
Jeep,Grand Wagoneer Series III,2022,31112,Gasoline,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,83000,471.0,6.4,8.0,21.71645569620253,8.0
Tesla,Model 3 Standard Range Plus,2021,21600,Eletric,271.0HP Electric Motor Electric Fuel System,White,Black,None reported,Yes,31000,271.0,3.698079470198676,6.222728867064188,21.71645569620253,7.0
Chevrolet,Express 2500 Work Van,2012,140500,E85 Flex Fuel,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,White,Gray,None reported,Yes,11800,324.0,6.0,8.0,21.71645569620253,7.0
Kia,Optima EX,2012,152520,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,10900,200.0,2.4,4.0,21.71645569620253,6.0
Lexus,ES 350 Base,2016,39700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,None reported,Yes,25500,268.0,3.5,6.0,21.71645569620253,6.0
Chevrolet,Colorado ZR2,2021,24915,Gasoline,3.6L V6 24V GDI DOHC,Satin Steel Metallic,Jet Black,None reported,No,44791,333.1202482544608,3.6,6.0,24.0,7.0
Maserati,Ghibli S Q4 GranSport,2020,25721,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Blu,Nero,None reported,Yes,52645,333.1202482544608,3.0,6.0,24.0,8.0
Subaru,Crosstrek 2.0i Limited,2018,84054,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,21499,152.0,2.0,4.0,21.71645569620253,7.0
Audi,RS 7 4.0T Prestige,2016,64800,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,White,Brown,None reported,Yes,50000,560.0,4.0,8.0,21.71645569620253,8.0
Mazda,Mazda6 i Grand Touring,2016,83100,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,White,None reported,Yes,17800,333.1202482544608,3.698079470198676,6.222728867064188,21.71645569620253,7.0
Audi,Q8 55 Premium,2020,34300,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Brown,None reported,Yes,52500,335.0,3.0,6.0,21.71645569620253,8.0
Lexus,GX 470 Base,2005,198000,Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,At least 1 accident or damage reported,Yes,15500,270.0,4.7,8.0,21.71645569620253,5.0
Ford,Mustang Mach-E Premium,2022,5800,Eletric,346.0HP Electric Motor Electric Fuel System,White,White,None reported,Yes,42500,346.0,3.698079470198676,6.222728867064188,21.71645569620253,1.0
Audi,RS 7 4.0T,2022,4100,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Blue,Black,None reported,Yes,162500,591.0,4.0,8.0,21.71645569620253,8.0
Ford,F-250 Lariat,2019,80200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,White,Black,None reported,Yes,42500,385.0,6.2,8.0,21.71645569620253,7.0
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,2.0L I4 16V GDI DOHC Turbo,Cirrus Silver Metallic,AMG Black,None reported,No,42999,333.1202482544608,2.0,4.0,16.0,9.0
Ford,Mustang EcoBoost Premium,2017,59500,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,21000,310.0,2.3,4.0,21.71645569620253,7.0
Tesla,Model Y Long Range,2023,5844,Eletric,425.0HP Electric Motor Electric Fuel System,White,Black,None reported,Yes,52000,425.0,3.698079470198676,6.222728867064188,21.71645569620253,7.0
Lincoln,MKS EcoBoost,2016,38100,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Beige,None reported,Yes,21000,365.0,3.5,6.0,21.71645569620253,7.0
Cadillac,ATS 2.5L Luxury,2013,225000,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Blue,Black,None reported,Yes,13600,202.0,2.5,4.0,21.71645569620253,6.0
Nissan,Leaf SL,2012,102000,Eletric,107.0HP Electric Motor Electric Fuel System,Silver,Gray,None reported,Yes,4200,107.0,3.698079470198676,6.222728867064188,21.71645569620253,1.0
BMW,X5 xDrive40i,2020,4880,Gasoline,3.0 Liter Turbo,White,Black,None reported,No,57998,333.1202482544608,3.0,6.222728867064188,21.71645569620253,7.0
Chevrolet,Colorado Z85,2005,155000,Gasoline,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,Blue,Gray,At least 1 accident or damage reported,Yes,7995,220.0,3.5,5.0,21.71645569620253,7.0
Volkswagen,Golf Auto TSI S,2015,107543,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,13200,170.0,1.8,4.0,21.71645569620253,7.0
BMW,Z4 sDrive28i,2016,59000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Beige,None reported,Yes,25000,240.0,2.0,4.0,21.71645569620253,8.0
Tesla,Model X Long Range,2022,7500,Eletric,670.0HP Electric Motor Electric Fuel System,Silver,Black,None reported,Yes,84000,670.0,3.698079470198676,6.222728867064188,21.71645569620253,7.0
Pontiac,Solstice GXP,2008,38100,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Orange,Black,None reported,Yes,19950,260.0,2.0,4.0,21.71645569620253,5.0
Lexus,LS 430 Base,2006,192000,Gasoline,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,Silver,Gray,At least 1 accident or damage reported,Yes,7390,278.0,4.3,8.0,21.71645569620253,6.0
