brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol,Categoria_MarcaModelo,condicao_do_veiculo,popularidade_modelo,popularidade_marca,eficiencia,idade_carro,idade_quilometragem,km_por_ano,cc
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,27500,252.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,avg,1,48,126.0,4.999999999899956,200344.99999599133,8013.800000160347,2
Kia,Rio S,2021,67686,Gasoline,120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,15700,120.0,1.6,4.0,24.0,7.0,2,0,0,13,0,0,bom,1,61,75.0,2.9999999998999556,203057.99999322838,22562.0000007524,1
Ford,F-250 King Ranch,2015,97700,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,39950,440.0,6.7,8.0,24.0,6.0,1,1,5,6,2,4,bom,1,224,65.67164179104478,8.999999999899956,879299.9999902257,10855.555555676227,3
Porsche,911 Turbo S,2019,22000,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,174900,580.0,3.8,6.0,24.0,7.0,1,3,3,5,6,6,bom,3,159,152.63157894736844,4.999999999899956,109999.99999779902,4400.000000088039,2
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000,405.0,3.0,6.0,24.0,7.0,3,3,4,14,1,6,bom,2,297,135.0,3.9999999998999556,100051.9999974976,6253.2500001564,2
BMW,328 i xDrive,2016,65000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,19500,240.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,4,297,120.0,7.999999999899956,519999.9999934971,8125.000000101608,1
Ford,Expedition Limited,2018,98995,Gasoline,3.5 Liter GTDI,Automatic,Ingot Silver Metallic,Ebony,None reported,No,34998,311.0,3.5,6.0,24.0,7.0,3,3,4,1,9,1,avg,3,224,88.85714285714286,5.999999999899956,593969.9999900961,16499.166666941775,1
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500,248.0,3.5,6.0,24.0,7.0,3,0,4,3,9,1,avg,4,194,70.85714285714286,10.999999999899956,1077999.9999901957,8909.090909171937,1
GMC,Yukon SLT,2018,85500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,35899,355.0,5.3,8.0,24.0,7.0,1,1,5,16,2,2,avg,5,55,66.9811320754717,5.999999999899956,512999.9999914462,14250.000000237605,3
BMW,330e iPerformance,2018,45253,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,24995,247.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,3,297,123.5,5.999999999899956,271517.99999547267,7542.1666667924255,2
Tesla,Model 3 Long Range,2019,27123,Elétrico,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,38200,425.0,3.5,6.0,24.0,7.0,3,3,4,14,1,6,bom,5,47,121.42857142857143,4.999999999899956,135614.9999972865,5424.60000010854,2
Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,18950,288.0,3.6,6.0,24.0,6.0,3,2,2,4,5,1,avg,2,15,80.0,8.999999999899956,617876.9999931316,7628.111111195905,1
Jeep,Wrangler Sport,2012,57237,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,22500,285.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,bom,11,99,79.16666666666667,11.999999999899956,686843.9999942738,4769.750000039766,1
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,17200,220.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,avg,2,139,110.0,8.999999999899956,656999.9999926968,8111.111111201275,1
Kia,Optima EX,2019,68166,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Ebony Black,Black,None reported,No,20818,311.0,1.6,4.0,24.0,7.0,2,3,0,14,1,0,avg,3,61,194.375,4.999999999899956,340829.9999931804,13633.200000272785,2
Subaru,Impreza WRX Base,2013,113000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,16000,265.0,2.5,4.0,24.0,5.0,2,2,2,2,7,0,avg,1,47,106.0,10.999999999899956,1242999.999988695,10272.727272820703,1
Volkswagen,Touareg TDI Lux,2015,15167,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Gold,Black,None reported,Yes,35000,240.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,bom,1,42,80.0,8.999999999899956,136502.9999984826,1685.2222222409553,2
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,61500,420.0,6.2,8.0,24.0,7.0,1,1,5,16,2,2,avg,3,77,67.74193548387096,3.9999999998999556,194451.99999513655,12153.250000303966,3
Land,Rover Range Rover Sport HSE,2007,220000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,5750,300.0,4.4,8.0,24.0,7.0,1,1,5,16,2,2,bom,6,102,68.18181818181817,16.999999999899956,3739999.99997799,12941.176470664393,0
INFINITI,QX80 SENSORY,2022,26520,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,At least 1 accident or damage reported,Yes,64000,400.0,5.6,8.0,24.0,7.0,1,1,5,16,2,2,avg,2,44,71.42857142857143,1.9999999998999556,53039.99999734682,13260.000000663294,3
BMW,Z4 3.0si,2008,59257,Gasoline,255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,18200,255.0,3.0,6.0,24.0,6.0,3,2,2,4,5,1,bom,1,297,85.0,15.999999999899956,948111.9999940717,3703.5625000231576,1
Ford,F-250 XLT Super Duty,2001,64309,Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,7500,260.0,5.4,8.0,24.0,7.0,1,1,5,16,2,2,bom,1,224,48.148148148148145,22.999999999899956,1479106.9999935662,2796.0434782730317,0
BMW,X5 xDrive35i,2017,105100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,23300,300.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,avg,9,297,100.0,6.999999999899956,735699.9999894854,15014.2857145003,1
Nissan,Xterra S,2012,80000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,14800,261.0,4.0,6.0,24.0,7.0,3,3,4,3,9,1,bom,2,84,65.25,11.999999999899956,959999.9999919964,6666.666666722247,1
Chevrolet,Silverado 2500 LT,2016,84421,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,36800,360.0,6.0,8.0,24.0,6.0,1,1,5,6,2,4,bom,2,190,60.0,7.999999999899956,675367.9999915542,10552.625000131966,3
Mercedes-Benz,GL-Class GL 450,2011,93000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11900,335.0,4.7,8.0,24.0,7.0,1,1,5,16,2,2,avg,4,194,71.27659574468085,12.999999999899956,1208999.9999906959,7153.846153901208,3
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,228.0,2.0,4.0,24.0,6.0,2,0,0,2,7,0,avg,1,24,114.0,6.999999999899956,169959.99999757094,3468.571428621002,1
Jeep,Compass Sport,2010,179700,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,4500,172.0,2.4,4.0,24.0,7.0,2,0,0,0,0,0,avg,2,99,71.66666666666667,13.999999999899956,2515799.999982022,12835.71428580601,0
Toyota,86 860 Special Edition,2017,87500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,20000,200.0,2.0,4.0,24.0,6.0,2,0,0,2,7,0,bom,1,131,100.0,6.999999999899956,612499.9999912461,12500.00000017865,1
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,110000,717.0,6.2,8.0,24.0,7.0,1,1,3,5,6,2,bom,1,65,115.64516129032258,0.9999999998999556,4999.999999499778,5000.000000500222,3
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,14000,Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,46900,276.0,3.6,6.0,24.0,8.0,0,3,4,10,9,6,bom,1,42,76.66666666666667,1.9999999998999556,27999.999998599378,7000.0000003501555,2
Audi,S4 3.0 Prestige,2012,38718,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,31000,333.0,3.0,6.0,24.0,7.0,3,3,4,12,1,1,bom,2,139,111.0,11.999999999899956,464615.99999612645,3226.5000000268997,2
Jeep,Grand Cherokee Laredo,2012,166000,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,13000,290.0,3.6,6.0,24.0,7.0,3,3,4,1,9,1,avg,4,99,80.55555555555556,11.999999999899956,1991999.9999833927,13833.333333448662,0
Honda,Civic Sport,2020,23131,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Crystal Black Pearl,Black,At least 1 accident or damage reported,No,23739,311.0,2.0,4.0,16.0,7.0,2,3,1,7,3,3,mau,4,48,155.5,3.9999999998999556,92523.99999768587,5782.750000144633,2
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000,400.0,3.0,6.0,24.0,7.0,3,3,4,14,1,6,bom,1,34,133.33333333333334,1.9999999998999556,36391.99999817959,9098.000000455102,2
Toyota,4Runner Sport,2004,220450,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8550,245.0,4.0,6.0,24.0,7.0,3,0,4,3,9,1,bom,1,131,61.25,19.999999999899956,4408999.999977945,11022.500000055137,0
Mercedes-Benz,E-Class E 350 4MATIC,2014,89563,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,18995,302.0,3.5,6.0,24.0,7.0,3,3,4,12,9,1,bom,12,194,86.28571428571429,9.999999999899956,895629.9999910397,8956.300000089603,1
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,17500,300.0,3.0,6.0,24.0,7.0,3,3,4,1,9,1,avg,1,44,100.0,6.999999999899956,751659.9999892572,15340.000000219241,1
Pontiac,Solstice Base,2007,62310,Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,12900,177.0,2.4,4.0,24.0,5.0,2,2,2,2,7,0,bom,1,11,73.75,16.999999999899956,1059269.9999937662,3665.294117668629,1
Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,No,143998,311.0,4.4,6.0,24.0,7.0,3,1,4,12,9,1,avg,1,102,70.68181818181817,0.9999999998999556,3533.999999646443,3534.000000353557,2
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500,375.0,2.9,6.0,24.0,7.0,3,3,4,14,1,6,bom,9,159,129.31034482758622,1.9999999998999556,40499.9999979741,10125.000000506476,2
Audi,Q5 Premium,2023,2425,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,No,42998,311.0,2.0,6.0,24.0,7.0,3,3,4,14,1,1,avg,1,139,155.5,0.9999999998999556,2424.9999997573923,2425.0000002426077,2
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,49900,310.0,2.7,4.0,24.0,8.0,2,3,4,17,0,6,bom,1,55,114.81481481481481,1.9999999998999556,49799.999997508894,12450.000000622776,2
Ford,Expedition Max Limited,2022,26500,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,65900,440.0,3.5,6.0,24.0,7.0,3,3,3,14,1,6,bom,1,224,125.71428571428571,1.9999999998999556,52999.99999734882,13250.000000662794,2
Cadillac,CTS-V Base,2006,123000,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,15000,400.0,6.0,8.0,24.0,6.0,1,1,5,6,2,4,bom,3,77,66.66666666666667,17.999999999899956,2213999.9999876944,6833.3333333713135,0
Jeep,Liberty Limited,2010,107000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5900,210.0,3.7,6.0,24.0,7.0,3,0,4,3,9,1,bom,1,99,56.75675675675675,13.999999999899956,1497999.9999892951,7642.857142911759,1
Mercedes-Benz,S-Class S 550,2016,78101,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,34500,449.0,4.7,8.0,24.0,7.0,1,1,5,8,4,2,bom,1,194,95.53191489361701,7.999999999899956,624807.9999921864,9762.625000122087,3
Dodge,Dakota Sport,2002,150000,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Gray,At least 1 accident or damage reported,Yes,5500,175.0,3.9,6.0,24.0,5.0,3,2,2,4,5,4,avg,1,65,44.871794871794876,21.999999999899956,3299999.999984993,6818.181818212824,0
Cadillac,Escalade Premium Luxury,2017,55000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,49900,420.0,6.2,8.0,24.0,8.0,1,1,5,16,4,2,avg,2,77,67.74193548387096,6.999999999899956,384999.9999944976,7857.142857255152,3
Audi,R8 Base,2008,49000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,63000,420.0,4.2,8.0,24.0,6.0,1,1,5,6,2,4,bom,1,139,100.0,15.999999999899956,783999.9999950979,3062.500000019149,3
Ford,Mustang Shelby GT500,2013,16478,Gasoline,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,66400,650.0,5.8,8.0,24.0,6.0,1,1,3,8,6,2,bom,3,224,112.06896551724138,10.999999999899956,181257.99999835147,1498.0000000136242,3
Kia,Niro Plug-In Hybrid EX,2023,9400,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,None reported,Yes,31500,180.0,1.6,4.0,24.0,7.0,2,0,0,13,0,0,bom,1,61,112.5,0.9999999998999556,9399.999999059582,9400.000000940418,2
